airbnb_property_id,rating,property_type,bathrooms,title,bedrooms,accommodates,average_daily_rate,img_cover,reviews,longitude,latitude,days_available,room_type,url,active_listing,city,listing_date,description
38506661.0,9.7,Apartment,1.0,Kasa | Dallas | Stylish 1BD/1BA Apartment,1,4.0,106.0,https://a0.muscache.com/im/pictures/bd8f9d4f-08d8-4ab5-b153-fe3164683163.jpg?aki_policy=x_large,13.0,-96.76603,32.84829000000001,232.0,Entire home/apt,https://www.airbnb.com/rooms/38506661,1.0,Dallas,,
37704015.0,8.0,Townhouse,2.5,Beautiful Modern Cozy Dallas Townhouse,2,8.0,174.0,https://a0.muscache.com/im/pictures/0378123e-b1e9-452c-b08d-5e79dc1da002.jpg?aki_policy=x_large,52.0,-96.7926,32.80279,292.0,Private room,https://www.airbnb.com/rooms/37704015,1.0,Dallas,,
21804987.0,,Apartment,1.0,⭐️ KING BED | FREE PARKING | GYM | POOL⭐️,1,4.0,116.0,https://a0.muscache.com/im/pictures/5f15ba2c-fab1-4de2-bfcb-13fa1fc0805c.jpg?aki_policy=x_large,0.0,-96.791,32.815,112.0,Entire home/apt,https://www.airbnb.com/rooms/21804987,1.0,Dallas,,
32206471.0,10.0,Apartment,1.0,East Side Duplex,2,4.0,166.0,https://a0.muscache.com/im/pictures/ed20b2b3-0667-447d-8d92-909c49908888.jpg?aki_policy=x_large,17.0,-96.76541,32.79257,204.0,Entire home/apt,https://www.airbnb.com/rooms/32206471,1.0,Dallas,,
45530322.0,10.0,Room in hotel,1.0,Downtown Room - Week Rate Two Beds,0,5.0,84.0,https://a0.muscache.com/im/pictures/65cea5db-7ef9-425a-bc12-6ead2f8acc70.jpg?aki_policy=x_large,2.0,-96.80597,32.78157,30.0,Private room,https://www.airbnb.com/rooms/45530322,1.0,Dallas,,
44343682.0,9.4,Apartment,1.0,Perfect for Long Term | Studio Loft in Downtown! D,0,4.0,95.0,https://a0.muscache.com/im/pictures/616d23c8-ba87-4064-87e0-867306c76a16.jpg?aki_policy=x_large,10.0,-96.79934,32.7807,87.0,Entire home/apt,https://www.airbnb.com/rooms/44343682,1.0,Dallas,,
45635187.0,,Apartment,1.0,Avondale Parc @ Bellmar Apartment in Dallas,1,2.0,41.0,https://a0.muscache.com/im/pictures/cce567c6-d833-4f82-9805-69825fd5fdde.jpg?aki_policy=x_large,0.0,-96.77329,32.89474000000001,14.0,Entire home/apt,https://www.airbnb.com/rooms/45635187,1.0,Dallas,,
46025318.0,,Serviced apartment,1.5,A place to call home | 1BR in Dallas,1,3.0,68.0,https://a0.muscache.com/im/pictures/c52f7c42-435d-49cd-96ba-783a2f2eba5f.jpg?aki_policy=x_large,0.0,-96.79,32.789,31.0,Entire home/apt,https://www.airbnb.com/rooms/46025318,1.0,Dallas,,
14232636.0,10.0,House,1.0,"Professionals, Transplants and Vacationers Welcome",1,1.0,71.0,https://a0.muscache.com/im/pictures/6c5421ac-5ae3-425f-ac02-05667c7b4ee3.jpg?aki_policy=x_large,2.0,-96.79971,33.00521,61.0,Private room,https://www.airbnb.com/rooms/14232636,1.0,Dallas,,
23055098.0,8.6,Apartment,1.0,"Uptown – Private 1 bd #14, WiFi, Parking, Shops",1,3.0,104.0,https://a0.muscache.com/im/pictures/5988d3e8-8f88-4071-ba54-aab48e208e0b.jpg?aki_policy=x_large,18.0,-96.79057,32.81942,67.0,Entire home/apt,https://www.airbnb.com/rooms/23055098,1.0,Dallas,,
